aggregator,block_dimension,budget,dimension,discrete,elapsed_budget,elapsed_time,error,function_class,hashing,loss,name,noise_level,num_blocks,num_workers,optimizer_name,rotation,seed,translation_factor,useful_dimensions,useless_variables
max,20,16000,20,False,16000,7.234495639801025,,ArtificialFunction,False,1.5956343349578446e+43,cigar,10,1,1,SPSA,True,635542945,1,20,0
max,20,16000,20,False,16000,6.279855489730835,,ArtificialFunction,False,344.39984544545257,sphere4,10,1,1,SPSA,True,2370983582,1,20,0
max,20,16000,20,False,16000,6.7283804416656485,,ArtificialFunction,False,24.460922223668753,sphere,10,1,1,SPSA,False,3896683639,1,20,0
max,20,16000,20,False,16000,6.517159938812256,,ArtificialFunction,False,3.2301836705008715e+47,cigar,10,1,1,SPSA,False,2084680127,1,20,0
max,20,16000,20,False,16000,6.522723436355591,,ArtificialFunction,False,378.5376639049038,sphere4,10,1,1,SPSA,False,2939153760,1,20,0
max,20,32000,20,False,32000,11.813211441040039,,ArtificialFunction,False,19.529710556337463,sphere,10,1,1,SPSA,True,3299111058,1,20,0
max,20,32000,20,False,32000,12.829610347747805,,ArtificialFunction,False,8.595317452525898e+44,cigar,10,1,1,SPSA,True,4113413590,1,20,0
max,20,32000,20,False,32000,12.395363807678224,,ArtificialFunction,False,383.1689508903218,sphere4,10,1,1,SPSA,True,690273202,1,20,0
max,20,32000,20,False,32000,11.103109359741213,,ArtificialFunction,False,18.971528149078267,sphere,10,1,1,SPSA,False,1958723792,1,20,0
max,20,32000,20,False,32000,12.0121328830719,,ArtificialFunction,False,3.4857321692819604e+48,cigar,10,1,1,SPSA,False,3283762132,1,20,0
max,20,32000,20,False,32000,10.80505108833313,,ArtificialFunction,False,336.268717603045,sphere4,10,1,1,SPSA,False,2418672774,1,20,0
max,20,64000,20,False,64000,21.446046352386478,,ArtificialFunction,False,39.24604462100479,sphere,10,1,1,SPSA,True,89377403,1,20,0
max,20,64000,20,False,64000,24.1699333190918,,ArtificialFunction,False,4.2545219345812404e+47,cigar,10,1,1,SPSA,True,3441408621,1,20,0
max,20,64000,20,False,64000,21.968759775161747,,ArtificialFunction,False,365.4499854001001,sphere4,10,1,1,SPSA,True,580723273,1,20,0
max,20,64000,20,False,64000,20.37298369407653,,ArtificialFunction,False,29.40793908015985,sphere,10,1,1,SPSA,False,4050917037,1,20,0
max,20,64000,20,False,64000,23.268381357192997,,ArtificialFunction,False,4.316672173390596e+47,cigar,10,1,1,SPSA,False,499388830,1,20,0
max,20,64000,20,False,64000,21.444157361984253,,ArtificialFunction,False,297.9793355912179,sphere4,10,1,1,SPSA,False,959320816,1,20,0
max,20,500,20,False,500,0.5187318325042725,,ArtificialFunction,False,20.7031359958264,sphere,10,1,1,SPSA,True,3340206418,1,20,0
max,20,128000,20,False,128000,44.115972995758064,,ArtificialFunction,False,20.166121850250143,sphere,10,1,1,SPSA,True,137025203,1,20,0
max,20,500,20,False,500,0.5786087512969971,,ArtificialFunction,False,9.765550970706675e+40,cigar,10,1,1,SPSA,True,2608511152,1,20,0
max,20,128000,20,False,128000,48.398818731307976,,ArtificialFunction,False,2.0105461489816225e+46,cigar,10,1,1,SPSA,True,2681917306,1,20,0
max,20,500,20,False,500,0.5661201477050781,,ArtificialFunction,False,376.67271801449965,sphere4,10,1,1,SPSA,True,1020231754,1,20,0
max,20,128000,20,False,128000,44.91323757171631,,ArtificialFunction,False,377.7777721616688,sphere4,10,1,1,SPSA,True,279535960,1,20,0
max,20,500,20,False,500,0.1614971160888672,,ArtificialFunction,False,26.75360896888647,sphere,10,1,1,SPSA,False,3691240976,1,20,0
max,20,128000,20,False,128000,41.12120914459229,,ArtificialFunction,False,26.958862487186746,sphere,10,1,1,SPSA,False,2962574549,1,20,0
max,20,500,20,False,500,0.1834714412689209,,ArtificialFunction,False,4.934239430113918e+42,cigar,10,1,1,SPSA,False,3540249318,1,20,0
max,20,128000,20,False,128000,46.81736373901367,,ArtificialFunction,False,4.663270769996949e+41,cigar,10,1,1,SPSA,False,2705094961,1,20,0
max,20,500,20,False,500,0.17896699905395508,,ArtificialFunction,False,309.7896493177388,sphere4,10,1,1,SPSA,False,3835331426,1,20,0
max,20,128000,20,False,128000,43.036282062530525,,ArtificialFunction,False,379.951267472697,sphere4,10,1,1,SPSA,False,1240240664,1,20,0
max,20,1000,20,False,1000,0.8360621929168701,,ArtificialFunction,False,22.29208141078287,sphere,10,1,1,SPSA,True,4147861236,1,20,0
max,20,1000,20,False,1000,0.8446023464202881,,ArtificialFunction,False,2.3488607214966263e+47,cigar,10,1,1,SPSA,True,769458329,1,20,0
max,20,1000,20,False,1000,0.9231500625610352,,ArtificialFunction,False,333.3150773622212,sphere4,10,1,1,SPSA,True,4177289964,1,20,0
max,20,1000,20,False,1000,0.4958665370941162,,ArtificialFunction,False,18.41300818850941,sphere,10,1,1,SPSA,False,3258093498,1,20,0
max,20,1000,20,False,1000,0.556279182434082,,ArtificialFunction,False,3.5456829138587806e+42,cigar,10,1,1,SPSA,False,1947549667,1,20,0
max,20,1000,20,False,1000,0.4976747035980225,,ArtificialFunction,False,369.4161909106504,sphere4,10,1,1,SPSA,False,3228361626,1,20,0
max,20,2000,20,False,2000,1.1427640914916992,,ArtificialFunction,False,23.08197788836443,sphere,10,1,1,SPSA,True,2615817460,1,20,0
max,20,2000,20,False,2000,1.2896931171417236,,ArtificialFunction,False,4.073709166737168e+42,cigar,10,1,1,SPSA,True,2608519806,1,20,0
max,20,2000,20,False,2000,1.3790507316589355,,ArtificialFunction,False,331.1384813652546,sphere4,10,1,1,SPSA,True,3330860994,1,20,0
max,20,2000,20,False,2000,0.9700112342834472,,ArtificialFunction,False,16.735956921503902,sphere,10,1,1,SPSA,False,3410295726,1,20,0
max,20,2000,20,False,2000,1.2891604900360107,,ArtificialFunction,False,5.790369359992117e+41,cigar,10,1,1,SPSA,False,2755708342,1,20,0
max,20,2000,20,False,2000,1.0161325931549072,,ArtificialFunction,False,312.2398573698384,sphere4,10,1,1,SPSA,False,1666631909,1,20,0
max,20,4000,20,False,4000,2.3062472343444824,,ArtificialFunction,False,14.965236231356279,sphere,10,1,1,SPSA,True,3101044685,1,20,0
max,20,4000,20,False,4000,2.519280433654785,,ArtificialFunction,False,1.62339733921527e+45,cigar,10,1,1,SPSA,True,1461780042,1,20,0
max,20,4000,20,False,4000,2.5354044437408447,,ArtificialFunction,False,368.90883309841104,sphere4,10,1,1,SPSA,True,150480713,1,20,0
max,20,4000,20,False,4000,2.0618278980255127,,ArtificialFunction,False,10.732960601905008,sphere,10,1,1,SPSA,False,2842891083,1,20,0
max,20,4000,20,False,4000,1.9387626647949217,,ArtificialFunction,False,2.907628265002804e+45,cigar,10,1,1,SPSA,False,1281830708,1,20,0
max,20,4000,20,False,4000,1.7826220989227295,,ArtificialFunction,False,364.4743641765574,sphere4,10,1,1,SPSA,False,3889298178,1,20,0
max,20,8000,20,False,8000,4.1428961753845215,,ArtificialFunction,False,19.863726888183734,sphere,10,1,1,SPSA,True,251309216,1,20,0
max,20,8000,20,False,8000,4.6134419441223145,,ArtificialFunction,False,2.175872604928796e+42,cigar,10,1,1,SPSA,True,3092507539,1,20,0
max,20,8000,20,False,8000,4.2892889976501465,,ArtificialFunction,False,316.7775313216336,sphere4,10,1,1,SPSA,True,3681048725,1,20,0
max,20,8000,20,False,8000,3.4395351409912114,,ArtificialFunction,False,20.644028533317865,sphere,10,1,1,SPSA,False,2025473427,1,20,0
max,20,8000,20,False,8000,3.9752256870269775,,ArtificialFunction,False,2.9154857653674715e+46,cigar,10,1,1,SPSA,False,1601395851,1,20,0
max,20,8000,20,False,8000,3.568894147872925,,ArtificialFunction,False,381.71614022474677,sphere4,10,1,1,SPSA,False,2134621654,1,20,0
max,20,16000,20,False,16000,8.018457174301147,,ArtificialFunction,False,11.99572417628133,sphere,10,1,1,SPSA,True,2919924725,1,20,0
max,20,16000,20,False,16000,9.680052280426024,,ArtificialFunction,False,1.5147074323199275e+44,cigar,10,1,1,SPSA,True,1916698699,1,20,0
max,20,16000,20,False,16000,7.577347278594973,,ArtificialFunction,False,313.3448223812765,sphere4,10,1,1,SPSA,True,1100713985,1,20,0
max,20,16000,20,False,16000,7.05097222328186,,ArtificialFunction,False,13.972131793807955,sphere,10,1,1,SPSA,False,2278804114,1,20,0
max,20,16000,20,False,16000,8.475508451461794,,ArtificialFunction,False,1.3993533487809676e+45,cigar,10,1,1,SPSA,False,1492849944,1,20,0
max,20,16000,20,False,16000,6.265212297439575,,ArtificialFunction,False,362.59716738560303,sphere4,10,1,1,SPSA,False,4265961884,1,20,0
max,20,32000,20,False,32000,13.595905065536499,,ArtificialFunction,False,22.267588814387626,sphere,10,1,1,SPSA,True,40427531,1,20,0
max,20,32000,20,False,32000,15.066058874130249,,ArtificialFunction,False,6.726906385383307e+45,cigar,10,1,1,SPSA,True,2639060264,1,20,0
max,20,32000,20,False,32000,13.461228132247925,,ArtificialFunction,False,320.2730089599761,sphere4,10,1,1,SPSA,True,1539031884,1,20,0
max,20,32000,20,False,32000,12.311748027801515,,ArtificialFunction,False,16.882871754241545,sphere,10,1,1,SPSA,False,774411578,1,20,0
max,20,32000,20,False,32000,12.973649263381958,,ArtificialFunction,False,1.0808965775765418e+41,cigar,10,1,1,SPSA,False,4076328470,1,20,0
max,20,32000,20,False,32000,12.820261716842651,,ArtificialFunction,False,372.8040017842692,sphere4,10,1,1,SPSA,False,3104697122,1,20,0
max,20,64000,20,False,64000,23.38780498504639,,ArtificialFunction,False,26.309260395649304,sphere,10,1,1,SPSA,True,935869108,1,20,0
max,20,64000,20,False,64000,26.08119010925293,,ArtificialFunction,False,1.2586594968681884e+45,cigar,10,1,1,SPSA,True,4033431925,1,20,0
max,20,64000,20,False,64000,23.970633268356323,,ArtificialFunction,False,322.0917204347816,sphere4,10,1,1,SPSA,True,1371775463,1,20,0
max,20,64000,20,False,64000,22.770287036895752,,ArtificialFunction,False,24.219357958999854,sphere,10,1,1,SPSA,False,2312359395,1,20,0
max,20,64000,20,False,64000,23.834097623825073,,ArtificialFunction,False,9.5763943773406e+44,cigar,10,1,1,SPSA,False,3941802373,1,20,0
max,20,64000,20,False,64000,21.50637722015381,,ArtificialFunction,False,373.9141607490957,sphere4,10,1,1,SPSA,False,2019226744,1,20,0
max,20,500,20,False,500,0.44593214988708496,,ArtificialFunction,False,27.09306728640799,sphere,10,1,1,SPSA,True,2207369835,1,20,0
max,20,128000,20,False,128000,42.970276594161994,,ArtificialFunction,False,17.48672518815913,sphere,10,1,1,SPSA,True,2890241211,1,20,0
max,20,500,20,False,500,0.4591500759124756,,ArtificialFunction,False,2.475909891052492e+40,cigar,10,1,1,SPSA,True,3959502168,1,20,0
max,20,128000,20,False,128000,48.21146655082703,,ArtificialFunction,False,1.1658096103051584e+47,cigar,10,1,1,SPSA,True,2294857755,1,20,0
max,20,500,20,False,500,0.4480545520782471,,ArtificialFunction,False,357.1105119031708,sphere4,10,1,1,SPSA,True,3320718604,1,20,0
max,20,128000,20,False,128000,44.74770402908325,,ArtificialFunction,False,319.4259765669203,sphere4,10,1,1,SPSA,True,1106351093,1,20,0
max,20,500,20,False,500,0.1581254005432129,,ArtificialFunction,False,14.137770059261562,sphere,10,1,1,SPSA,False,2830748054,1,20,0
max,20,128000,20,False,128000,40.1185622215271,,ArtificialFunction,False,26.06456352759855,sphere,10,1,1,SPSA,False,414884058,1,20,0
max,20,500,20,False,500,0.1753222942352295,,ArtificialFunction,False,1.2019670532258682e+43,cigar,10,1,1,SPSA,False,3738458439,1,20,0
max,20,128000,20,False,128000,46.16701722145081,,ArtificialFunction,False,6.194797557322294e+46,cigar,10,1,1,SPSA,False,3011421995,1,20,0
max,20,500,20,False,500,0.18668031692504888,,ArtificialFunction,False,256.64926544217184,sphere4,10,1,1,SPSA,False,1573170937,1,20,0
max,20,128000,20,False,128000,41.96157336235047,,ArtificialFunction,False,341.56432896462417,sphere4,10,1,1,SPSA,False,505183990,1,20,0
max,20,1000,20,False,1000,0.696782112121582,,ArtificialFunction,False,22.64099815570533,sphere,10,1,1,SPSA,True,34561382,1,20,0
